name,category,Protein,Carbohydrates,Sugar,Fat,Fiber,Sodium,nutrient_grade,allergen
Waffle chips Dark chocolate and sea salt - Waffle Mill,chocolates,5 g,70 g,Not available,20 g,?,?,Not available,"Allergens: Eggs, Gluten"
Wafer com recheio e cobertura sabor chocolate - Hershey’s,chocolates,5.3 g,63 g,47 g,13 g,4.3 g,?,Not available,"Allergens: Eggs, Gluten"
Whey Protein Belgian Chocolate - Avvatar,chocolates,68.6 g,11.7 g,0 g,0.286 g,2.86 g,1.24 g,Not available,"Allergens: Eggs, Gluten"
Fennel fusion - choko la - 40g,chocolates,7.11 g,51.39 g,38.45 g,23.76 g,?,?,Ultra-processed foods,"Allergens: Eggs, Gluten"
DENEX CHOCOLATE COOKIES - 50g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Eggs, Gluten"
Pure whey protein blonde chocolate,chocolates,75 g,9.1 g,4.5 g,2.2 g,2.6 g,?,Not available,"Allergens: Eggs, Gluten"
Chocolate lassi - Chhaswala - 200 ml,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Eggs, Gluten"
Chocolairs Gold coffee - Cadbury - 577.5g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Eggs, Gluten"
Hershey's 49% Dark - 100 g,chocolates,6.3 g,56 g,42 g,0.2 g,?,0.11 g,Average impact of products of the same category: D (Score: 35/100),"Allergens: Milk, Soybeans"
milkybar ( choo - mix fruit ) - nestle - 308 g,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Green-Score D,"Allergens: Milk, Soybeans"
Snickers Almond - 20g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Soybeans"
galaxy milk chocolate smooth milk - mars International india pvt ltd - 56g,chocolates,+112%,+860%,+932%,+810%,"+1,598%","+65,117%",Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Soybeans"
Galaxy Milk Chocolate with Fruit & Nut - 100 g,chocolates,6.4 g,56.5 g,53.2 g,17.3 g,?,0.16 g,Nutri-Score E,"Allergens: Milk, Soybeans"
Galaxy milk chocolate 110g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Soybeans"
Flaovoured Milk - Chocolate - Hatsun - 200 ml,chocolates,7 g,32 g,32 g,10 g,?,?,Processed foods,Allergens: Milk
Dairy milk chocolate fruit and nut 55g,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
Chocolate Almonds - Eat Better Co.,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Allergens: Milk
Hershey milk chocolate bars king-size 2.6Oz Bar 18 boxes of 12 bars,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
Galaxy Milk Chocolate Smooth Milk - 30g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: D (Score: 39/100),Allergens: Milk
Hershey's chocolate flavored syrup,chocolates,1.27 g,66.6 g,63.7 g,0.5 g,?,0.182 g,Not available,Allergens: Milk
Mason & Co - 60g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: D (Score: 35/100),Allergens: Milk
Whey Protein - rich milk chocolate flavour - Muscleblaze,chocolates,71.4 g,12.4 g,-,4.11 g,-,-,Ultra-processed foods,Allergens: Milk
Chocolate almond - Magnum - 31g,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
Oreo Original chocolate sandwich biscuits - 46.3g,chocolates,5.2 g,71.9 g,38.8 g,9.7 g,0 g,"1,050 g",Nutri-Score E,Allergens: Milk
Pop Ice - Milk Shake chocolate -,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
the Original bourbon - Britannia - 150g,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
creme 4 fun - dukes - 150g,chocolates,5.9 g,74.4 g,36.1 g,7 g,0 g,0.564 g,Average impact of products of the same category: B (Score: 70/100),Allergens: Milk
Chocopie - Cocoaland - 25g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),Allergens: Milk
Protein Powder Gourmet Chocolate Flavour - ISO100 Hydrolyzed Dymatize,chocolates,78.1 g,7.81 g,0 g,0 g,1.88 g,1.43 g,Not available,Allergens: Milk
Chocolate Wheat Flakes,chocolates,11 g,80.6 g,28.9 g,2.6 g,8.2 g,?,Not available,Allergens: Milk
toasted millet muesli dark chocolate and orange peel - monsoon harvest - 250g,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Nutri-Score D,"Allergens: Milk, Nuts, Soybeans, Seeds"
"Chocolate Chunk Nuts - Yoga Bar - 1pc, 38 g per serving",chocolates,4.7 g,24.3 g,7.6 g,1 g,3.2 g,?,Ultra-processed foods,"Allergens: Nuts, Soybeans"
Mr. Bear - Ribbons & Balloons - 35 g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 47/100),"Allergens: Nuts, Soybeans"
Snickers 13x Family treats -  - 156g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Nuts, Soybeans"
Pure Magic Chocolush - Britannia - 300g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Nuts, Soybeans"
Gold Standard 100% Whey Extreme Milk Chocolate Flavour - Optimum nutrition - 907 g,chocolates,75 g,13 g,3 g,3 g,?,0.39 g,Nutri-Score A,"Allergens: Milk, Soybeans"
Snickers 13x Family treats -  - 156g,chocolates,?,?,Not available,?,?,?,Not available,Not available
Dark Chocolate - Hershys,chocolates,1.8 g,82 g,Not available,12 g,?,?,Not available,Not available
Pure Magic Chocolush - Britannia - 300g,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),Not available
Chocolate Hazelnut Whey Protein - Avvatar,chocolates,77.1 g,10.3 g,0 g,0.286 g,?,0.75 g,Not available,Not available
ON 100% Gold Standard Whey Chocolate Peanut Butter - Optimum Nutrition,chocolates,72.7 g,15.2 g,0 g,0 g,?,1.59 g,Not available,Not available
Dark Cocoa Powder - City's Master Chef - 50 g,chocolates,?,?,Not available,?,?,?,Green-Score E,Not available
chocolate cassata - get A whey,chocolates,4.4 g,14.7 g,Not available,4.53 g,?,?,Not available,Not available
Mini Chocolate Brownie Bar - Phab,chocolates,32.3 g,42.6 g,0 g,0 g,12 g,0.557 g,Not available,Not available
Date Crown chocolate Dates,chocolates,?,?,Not available,?,?,?,Not available,Not available
Gold Standard 100% Whey Extreme Milk Chocolate Flavour - Optimum nutrition - 907 g,chocolates,75 g,13 g,3 g,3 g,?,0.39 g,Nutri-Score A,"Allergens: Milk, Soybeans"
Classic Chocolate Protein Shake - Phab,chocolates,9 g,4.4 g,0 g,0 g,1.6 g,0.188 g,Not available,"Allergens: Milk, Soybeans"
Chocolate Chip Cookies - Express Foods,chocolates,8.9 g,65.1 g,38.4 g,0.5 g,?,?,Not available,"Allergens: Milk, Soybeans"
Creamy milk chocolate - Schmitten luxury chocolates - 20g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Soybeans"
Hershey's milk shake (chocolate flavour) - 180,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 57/100),"Allergens: Milk, Soybeans"
Pintola High Protein Oats Dark Chocolate - 400g,chocolates,22 g,58.5 g,11.5 g,3.4 g,9.3 g,0.332 g,Nutri-Score C,"Allergens: Milk, Soybeans"
Hide & seek Milano chocolate chip - Parle - 150g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Soybeans"
Dark Chocolate Granola - True elements,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Milk, Soybeans"
Dark Chocolate Muesli - True Elements,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Milk, Soybeans"
Hershey's - chocolate - 100.8,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Soybeans"
Dairy Milk - Home Treats - Cadbury - 100 g,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Average impact of products of the same category: D (Score: 39/100),"Allergens: Milk, Soybeans"
Milk chocolate,chocolates,6.1 g,61 g,59 g,17 g,?,?,Not available,"Allergens: Milk, Soybeans"
Patanwala Chocolate shake - 200ml,chocolates,?,?,Not available,?,?,?,Average impact of products of the same category: C (Score: 54/100),"Allergens: Milk, Soybeans"
High Protein Oats (Dark Chocolate) - MuscleBlaze,chocolates,21.91 g,56.06 g,10.22 g,3.43 g,11.52 g,0 g,Average impact of products of the same category: A (Score: 86/100),"Allergens: Milk, Soybeans"
Nestle class - chocolate - 120g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Milk, Soybeans"
Vanilla Chocolate Laddoos - Eat Better,chocolates,10 g,54 g,Not available,13 g,10 g,?,Not available,"Allergens: Milk, Soybeans"
Hide and seek chocolate chip cookies - Parle,chocolates,5.9 g,73.4 g,32.5 g,9.4 g,?,0.285 g,Not available,"Allergens: Milk, Soybeans"
TURBO - CAMPCO - 22 g,chocolates,-32%,+22%,+12%,-22%,-100%,-100%,Average impact of products of the same category: C (Score: 56/100),"Allergens: Milk, Soybeans"
Britania Treat (Chocolate Flavoured Cream) - 5 x 103 g,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Milk, Soybeans"
Plant Protein Belgian Chocolate - Wellbeing Nutrition,chocolates,69.7 g,10.6 g,0 g,1.88 g,9.38 g,0.72 g,Not available,"Allergens: Milk, Soybeans"
Whey Protein Chocolate Fudge Brownie - Muscletech,chocolates,71.4 g,10 g,4.76 g,2.38 g,1.43 g,0.667 g,Not available,"Allergens: Milk, Soybeans"
Chocolate Oatmeal With Fruit & Nut - Mille,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Milk, Soybeans"
Peanut Butter Chocolate Crispy - MyFitness Junior,chocolates,25 g,26.2 g,11.6 g,0 g,5.94 g,0.246 g,Not available,"Allergens: Milk, Soybeans"
KitKat Rich Chocolate Coated Wafer - Nestlé,chocolates,7.3 g,62.7 g,41 g,0.14 g,?,0.228 g,Green-Score C,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Biozyme Performance Whey Triple chocolate - Muscleblaze,chocolates,64.9 g,19 g,11.3 g,0.01 g,?,1.38 g,Not available,"Allergens: Gluten, Milk, Sesame seeds, Soybeans"
Chocolate Flavoured Milk - Mother Dairy - 200ml,chocolates,3.4 g,11.4 g,6.5 g,1.2 g,?,0.138 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Milk
Lil'Goodness Milk Chocolate,chocolates,7.2 g,57 g,32 g,21.1 g,11.8 g,?,Not available,Allergens: Milk
Dark Chocolate,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
KitKat Chunky Caramel - Nestlé - 42 g,chocolates,5.3 g,62.5 g,54.6 g,0.07 g,?,0.234 g,Nutri-Score E,"Allergens: Gluten, Milk, Nuts, Soybeans"
Chocolate family pack - Amul,chocolates,4.4 g,24.4 g,Not available,12.2 g,?,?,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans"
Kismis - Parle - 12g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans"
chocolate herbal tea - Maison & Co - 150g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Nuts, Soybeans"
Chocolate Peanut Butter - Real Health - 350 g,chocolates,?,?,Not available,?,?,?,Ultra-processed foods,"Allergens: Peanuts, Soybeans"
dairy milk silk bubbly - Cadbury - 50g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
Dukes Waffy chocolate - 360 g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
PediaSure Chocolate Flv 400g cbd - 5,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
Galaxy Crispy Chocolate - 9g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
Horlicks Protein+ Chocolate Flv 400g cbd - 6,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
Horlicks Chocolate Delight flavour 1kg CBD - 41,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
Horlicks Chocolate Delight flavour 500g Cbd - 8,chocolates,10 g,78 g,32 g,1.4 g,?,0.362 g,Not available,"Allergens: Peanuts, Soybeans"
Horlicks Chocolate Delight flavour - 500g,chocolates,?,?,Not available,?,?,?,Not available,"Allergens: Peanuts, Soybeans"
Chocolate Flavoured Milk - Mother Dairy - 200ml,chocolates,3.4 g,11.4 g,6.5 g,1.2 g,?,0.138 g,Average impact of products of the same category: C (Score: 57/100),Allergens: Milk
Diary Milk Silk - Cadbury - 155g,chocolates,+12%,+1%,-3%,+15%,,,Ultra-processed foods,Allergens: Milk
Double Chocolate Granola - Phab,chocolates,7.83 g,65.9 g,1.89 g,0 g,14 g,0.091 g,Not available,Allergens: Milk
Vegan Belgian Chocolate Protein Powder - Karaki Origins,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Allergens: Milk
Dark Chocolate Ice Cream - Minus30,chocolates,3.9 g,14.2 g,Not available,6.4 g,?,?,Not available,Allergens: Milk
Protein Bar - Chocolate Fudge - Fitspire,chocolates,35 g,36.7 g,3.17 g,0 g,8 g,0.021 g,Not available,Allergens: Milk
Dark Chocolate Whey Protein Isolate - Wellbeing Nutrition,chocolates,74.9 g,13.8 g,5.35 g,0.084 g,2.9 g,0.463 g,Not available,Allergens: Milk
Sea Salt Dark Chocolate - Whole Truth Food,chocolates,8.1 g,39.9 g,Not available,30.6 g,?,0.615 g,Not available,Allergens: Milk
Impact Whey Protein Chocolate Hazelnut - My Protein,chocolates,73.7 g,7.79 g,0 g,0 g,?,0.281 g,Not available,Allergens: Milk
Whey Platinum Isolate Chocolate - Nakpro Nutrition,chocolates,81.96 g,8.45 g,0 g,0.04 g,?,0 g,Not available,Allergens: Milk
Ultimate Dark Chocolate - Didier & Frank,chocolates,15 g,8 g,1 g,30 g,20 g,0.1 g,Not available,Allergens: Milk
Chocolate Protein Shake - Just,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Allergens: Milk
Dark Chocolate Peanut Butter - The Whole Truth,chocolates,17.7 g,42 g,14 g,5.71 g,10 g,0.26 g,Not available,Allergens: Milk
MYFITNESS Chocolate Peanut Butter Crunchy,chocolates,,,Not available,,,,Average impact of products of the same category: C (Score: 55/100),Allergens: Milk
Double Chocolate Milk Shake - Amul - 180ml,chocolates,3.11 g,15.2 g,14.6 g,2.78 g,?,0.092 g,Nutri-Score E,Allergens: Milk
55 % dark chocolate - Amul,chocolates,6.4 g,51.4 g,42.5 g,18.6 g,?,0.095 g,Not available,Allergens: Milk
Sanfeast Dark fantasy chocolate cream - itc - 415,chocolates,?,?,Not available,?,?,?,Not available,Allergens: Milk
The Whole Truth Choco Fruit Crunch Muesli,chocolates,12 g,68.4 g,21 g,6 g,10 g,0.135 g,Average impact of products of the same category: A (Score: 82/100),"Allergens: Milk, Nuts"
Temptations rum & raisins,chocolates,-34%,+33%,,,,+230%,Average impact of products of the same category: A (Score: 76/100),"Allergens: Milk, Soybeans, Sulphur dioxide and sulphites"
chocolate,chocolates,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Milk, Soybeans, Sulphur dioxide and sulphites"
Amul White Chocolate - Net Weight: 150g,chocolates,+63%,-14%,,-100%,-100%,-100%,Nutri-Score E,Allergens: Milk
Lays Classics Salted 20rs - Lay's - 50g,chips,7 g,51.7 g,2.6 g,14 g,0 g,0.51 g,Average impact of products of the same category: A (Score: 88/100),Not available
masala munch 10rs - PepsiCo India holdings Pvt.Ltd - 44g,chips,6.4 g,56.8 g,0.4 g,0.1 g,0 g,0.25 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Milk, Nuts, Sesame seeds, Soybeans, Sulphur dioxide and sulphites"
Lay's India's Magic Masala20rs - 45 g,chips,10 g,50 g,10 g,0 g,0 g,2 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Nuts, Sesame seeds, Soybeans, Sulphur dioxide and sulphites"
Lays 20rs - PepsiCo - 55 g,chips,3.846 g,30.769 g,1.923 g,7.692 g,0 g,1.361 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Lay's American Style Cream & Onion Flavour - 11g(8.6 +2.4 extra),chips,6.7 g,53 g,3.4 g,0.1 g,?,1.608 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
American Style Cream & Onion 10rs - Lay's - 24g,chips,6.7 g,53 g,3.4 g,0.1 g,?,1.608 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
Chips barbecue - Lay's - 130 g,chips,6.4 g,52 g,2.8 g,2.6 g,4.4 g,1.3 g,Average impact of products of the same category: B (Score: 62/100),"Allergens: Gluten, Soybeans"
West Indies' Hot 'n' Sweet Chilli - Frito-lay - 20g,chips,7 g,54.7 g,6 g,0.1 g,?,1.717 g,Nutri-Score E,"Allergens: Gluten, Milk, Nuts, Peanuts, Sulphur dioxide and sulphites"
Puffcorn - Kurkure - 28 10rs,chips,6.4 g,66.5 g,4.5 g,0.1 g,?,1.925 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
masala - Lay's - 30g10rs,chips,6.9 g,53.4 g,2.5 g,0.1 g,?,2.065 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Hide & Seek - Parle - 100g,chips,5.9 g,73.4 g,32.5 g,9.4 g,?,0.285 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Milk, Soybeans"
Chilli Chatka 20rs - Kurkure - 75g,chips,5.6 g,55.8 g,2 g,15.8 g,?,1.808 g,Processed foods,"Allergens: Gluten, Milk, Soybeans"
Lays India's magic masala - 90 g,chips,6.9 g,52.9 g,2.5 g,12.5 g,?,2.482 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Tiger Krunch ChocoChips - Britannia - 63 g,chips,,,Not available,,,,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Tedhe Medhe - Bingo,chips,-9%,-6%,,+35%,,"+91,741%",Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Tedhe Medhe - Bingo -,chips,5.5 g,57.3 g,1.7 g,15.5 g,?,1.846 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Soybeans, Sulphur dioxide and sulphites"
Bingo - Itc - 21g g,chips,7.1 g,50.5 g,1.5 g,14.2 g,0 g,2.062 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
PRINGLES ( ORIGINAL ) - Kellogg India Pvt. Ltd - 107g,chips,5 g,62.8 g,0 g,0.3 g,0 g,1.17 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Gluten
Potato chips (Spicy Treat flavour)20rs - Uncle Chipps - 52 g,chips,6.4 g,54.6 g,2 g,0.1 g,?,2.205 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
POTATO WAFERS - balaji - 40,chips,6.4 g,53.8 g,0.4 g,16 g,?,?,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Pringles - South African Style Periperi Flavour,chips,5.2 g,61.5 g,1 g,0.3 g,-,1.48 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
American Style Cream and onion chips - Lay's - 73g,chips,6.7 g,53 g,3.4 g,14.9 g,?,1.608 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Britannia 50-50 -  - 105g,chips,7 g,60 g,10 g,2.7 g,?,2.705 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Potato chips - Pringles - 25 g,chips,5 g,57.6 g,3.2 g,15 g,?,1.605 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
classic salted chips - Lay's - 48 g,chips,1.25 g,9.375 g,0.625 g,0.938 g,0.625 g,0.266 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Lay's - India's Magic Masala - PepsiCo - 11g,chips,6.9 g,53.4 g,2.5 g,14.9 g,?,2.065 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Chips - Bingo,chips,5.7 g,59.8 g,1.8 g,13.9 g,529 g,?,Not available,"Allergens: Gluten, Milk"
Lay’s Chile Limon 20rs - 55 g,chips,6 g,52 g,3.2 g,14.8 g,?,2.44 g,Nutri-Score E,"Allergens: Gluten, Milk"
Classic Salted Potato Chips - Lay's - 11g,chips,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Balaji Wafers Chaat Chaska - 35 g,chips,7.4 g,53.5 g,2.2 g,0.01 g,6.2 g,0.982 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Gluten, Milk"
Potato Chips - Spanish Tomato Tango - Lay's - 50gm 20rs,chips,8 g,56 g,8 g,0 g,0 g,1.59 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Moong Dal - Haldiram's - 18,chips,21.31 g,50.66 g,0 g,8.61 g,7.52 g,0.975 g,Processed foods,"Allergens: Gluten, Milk"
Monaco - Parle,chips,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk"
Lays Spanish 50 - 90g,chips,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk"
Kerala Banana Chips - Byond Snack - 75G,chips,-35%,+12%,-100%,+194%,+66%,"+90,373%",Nutri-Score E,Allergens: Mustard
American Style Cream & Onion Flavour - Lay's - 82 g,chips,6.7 g,53 g,3.4 g,0.1 g,0 g,1.608 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Lays salted Chips 30 - Lay's - 73g,chips,7 g,54 g,2.6 g,13.3 g,?,1.275 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Golden potato chips,chips,3 g,63.2 g,0 g,14.88 g,2 g,1.6 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Haldiram's,chips,?,?,Not available,?,?,?,Not available,Allergens: Milk
Bingo! Potato Chips Chilli Sprinkled - ITC - 90g,chips,7.1 g,50.5 g,0.8 g,0.1 g,?,2.062 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Choco Chip Cookies - Unibic - 600g,chips,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Allergens: Gluten, Milk, Soybeans"
8906010500481,chips,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans"
Salt-n-Pepper Banana Chips,chips,2.9 g,55 g,0 g,16.6 g,2 g,?,Not available,"Allergens: Gluten, Milk, Soybeans"
Sweet chilli Doritos - 50gm,chips,6.6 g,65.5 g,6.5 g,8.7 g,?,1.602 g,Nutri-Score E,Allergens: Gluten
Kurkure Naughty Tomato - PepsiCo,chips,5.8 g,56.4 g,4.4 g,16.1 g,?,1.42 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Pringles Desi Masala Tadka Flavour - 107 g,chips,4.7 g,61.2 g,1.5 g,0.3 g,?,2.092 g,Average impact of products of the same category: A (Score: 87/100),Allergens: Gluten
uncle chipps - 24g,chips,6.7 g,52 g,35 g,15.8 g,?,0.591 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
8901491003162 - chips,chips,,,Not available,,,,Average impact of products of the same category: A (Score: 88/100),Allergens: Gluten
Hide & Seek Caffé Mocha - Parle - 100g,chips,5.8 g,73.6 g,31.7 g,9.2 g,?,0.355 g,Average impact of products of the same category: B (Score: 70/100),"Allergens: Gluten, Soybeans"
Taka tak - Haldiram's,chips,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 87/100),Allergens: Milk
Haldiram's Bhujia - 460 g,chips,20 g,39.5 g,3.9 g,10.4 g,5 g,?,Processed foods,Not available
Bingo Potato Chips Cream & Onion - ITC - 52.0 g,chips,4.8 g,54.5 g,4.8 g,14.1 g,0 g,0 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
Potato chips,chips,1.4 g,10.1 g,0.3 g,2.8 g,?,?,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Soybeans"
balaji wafers chataka pataka - 25g,chips,7 g,63.3 g,2 g,0.1 g,?,0.868 g,Average impact of products of the same category: A (Score: 87/100),"Allergens: Milk, Soybeans"
Unibic Choco Chip Cookies,chips,5.8 g,68 g,29 g,0 g,?,0.532 g,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk, Soybeans"
Potato Chips (Plain Salted flavour) 20rs - Uncle Chipps - 50g,chips,6.7 g,52 g,0 g,0.1 g,0 g,1.501 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Choco Chip Cookies - the Baker's Dozen - 60 g,chips,?,?,Not available,?,?,?,Average impact of products of the same category: B (Score: 67/100),"Allergens: Gluten, Milk, Soybeans"
Balaji Wafers Rumbles Potato Chips Pudina Twist flavour - 40 g,chips,7.3 g,54.6 g,2 g,0.1 g,?,1.842 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Lays Cream and Onion Patato Chips - Lay's - 45 gms,chips,6.7 g,53 g,3.4 g,0.1 g,?,1.61 g,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Masala Banana Chips - Chheda's - 170gm,chips,?,?,Not available,?,?,?,Not available,Allergens: Milk
Uncle Chips - 11g(8.8g+2.2g Extra),chips,?,?,Not available,?,?,?,Average impact of products of the same category: A (Score: 88/100),Allergens: Milk
Lay's West Indies' Hot 'n' Sweet Chilli - 11g(8.6g + 2.4g extra),chips,6.4 g,55.1 g,6 g,0.1 g,?,1.678 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Nuts, Peanuts, Garlic, Onion"
Potato Chips Salted - Lay's - 36 g,chips,7.4 g,46 g,0.7 g,14 g,5.2 g,1.341 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Nuts, Peanuts, Garlic, Onion"
Chips Mast Masala - Haldiram's,chips,6 g,54 g,0.3 g,16 g,?,2.268 g,Not available,"Allergens: Gluten, Milk, Nuts, Peanuts, Garlic, Onion"
Balaji Wafers Crunchex,chips,7.2 g,52 g,0.8 g,16.1 g,7.7 g,0.97 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Nuts, Peanuts, Garlic, Onion"
bingo mad angles - ITC Limited - 15g,chips,-7%,-,,,,-6%,Average impact of products of the same category: A (Score: 88/100),Allergens: Soybeans
Troo Good Magic Masala Jowar Ribbons - 25g,chips,7.2 g,49.8 g,2.1 g,17.8 g,3 g,0.252 g,Nutri-Score D,"Allergens: Mustard, Sesame seeds"
6784005228563,chips,-26%,+5%,+306%,-31%,+91%,-80%,Processed foods,"Allergens: Mustard, Sesame seeds"
Chips - १५g,chips,?,?,Not available,?,?,?,Not available,"Allergens: Mustard, Sesame seeds"
Potato Cheese Shotz - McCain - 400 g,chips,8.09 g,24.26 g,4.65 g,0 g,0 g,?,Average impact of products of the same category: A (Score: 88/100),"Allergens: Gluten, Milk, Soybeans"
Snac tac masala  chips,chips,?,?,Not available,?,?,?,Not available,"Allergens: Gluten, Milk, Soybeans"
Lemon chilli - Gopal wafers - 35g,chips,8.03 g,54.03 g,7.2 g,3.09 g,0 g,2.025 g,Average impact of products of the same category: A (Score: 88/100),"Allergens: Milk, Mustard, Nuts, Peanuts, Sesame seeds, Soybeans"
Munchiez Ragi Chips - Saffola - 80g,chips,5.5 g,61.1 g,7 g,6.2 g,3.4 g,2.225 g,Nutri-Score E,Allergens: Milk
